group,group_display,start_date,egg_uid,well_id,outcome,delta_2c_4c,delta_4c_bean,delta_bean_move
uvc_6W_2s,UVC 6W 2s,2025-06-12,827,11,l3_reached,13.899999999999999,115.5,25.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,759,1,l3_reached,25.799999999999997,154.9,25.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,761,1,l3_reached,29.400000000000006,177.0,21.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,762,2,l3_reached,15.100000000000001,130.9,24.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,763,2,l3_reached,21.5,126.8,30.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,764,2,l3_reached,19.4,105.0,48.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,765,3,l3_reached,19.300000000000004,129.3,23.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,766,3,l3_reached,33.0,134.0,27.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,767,3,l3_reached,22.599999999999994,147.7,24.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,768,4,l3_reached,22.200000000000003,136.8,25.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,769,4,l3_reached,26.5,147.5,24.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,770,4,l3_reached,41.900000000000006,147.6,25.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,771,5,l3_reached,21.599999999999994,139.0,19.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,772,5,l3_reached,26.400000000000006,170.0,25.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,775,6,l3_reached,36.099999999999994,184.9,36.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,776,6,l3_reached,33.60000000000002,189.0,24.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,777,7,arrested,40.0,,
uvc_6W_5s,UVC 6W 5s,2025-06-10,778,7,l3_reached,18.5,125.5,29.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,779,7,l3_reached,41.0,183.0,29.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,780,8,l3_reached,24.0,175.0,19.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,781,8,l3_reached,14.799999999999997,120.2,19.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,782,8,arrested,,,
uvc_6W_5s,UVC 6W 5s,2025-06-10,783,9,arrested,,,
uvc_6W_5s,UVC 6W 5s,2025-06-10,784,9,l3_reached,22.0,145.0,22.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,785,9,l3_reached,18.299999999999997,121.7,19.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,786,10,arrested,66.0,,
uvc_6W_5s,UVC 6W 5s,2025-06-10,787,10,l3_reached,22.299999999999997,141.70000000000002,18.69999999999999
uvc_6W_5s,UVC 6W 5s,2025-06-10,788,10,arrested,,,
uvc_6W_5s,UVC 6W 5s,2025-06-10,789,11,arrested,,,
uvc_6W_5s,UVC 6W 5s,2025-06-10,790,11,l3_reached,20.199999999999996,147.2,19.5
uvc_6W_5s,UVC 6W 5s,2025-06-10,791,11,l3_reached,57.400000000000006,165.6,20.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,792,12,l3_reached,24.599999999999994,147.4,27.0
uvc_6W_5s,UVC 6W 5s,2025-06-10,793,12,l3_reached,15.600000000000001,119.9,18.5
uvc_6W_5s,UVC 6W 5s,2025-06-10,794,12,l3_reached,21.0,133.5,25.0
